,<bytes_page>,<traf_page>,bratio_il0,bratio_il1,bratio_il2,traf_Ipodwizard,traf_il0,traf_il1,traf_il2
2008/10/01/01,17305,3,0.026986420109794858,0.41294423577000866,0.5150534527593181,2,1,1,
2008/10/02/00,8420,1,0.11425178147268408,0.848812351543943,1.026603325415677,1,2,1,
2008/10/10/16,33676,4,0.264698895355743,0.425406817911866,0.7262442095260719,1,2,2,
2008/10/16/07,16838,2,0.5023755790473928,1.1991329136477016,1.4520133032426654,1,1,1,
2008/10/26/09,8419,1,1.0027319159045016,0.9058082907708754,1.0252999168547334,1,1,2,
2008/10/06/17,10197,1,26.58821221928018,1.0940472688045504,2.5751691674021773,,5,1,6
2008/10/10/21,10381,1,66.00539447066757,3.3131682882188613,0.8065696946344283,,8,1,1
2008/10/14/20,10244,1,32.08658727059742,1.1168488871534556,0.8174541194845764,,8,2,1
2008/10/16/02,10237,1,11.14662498778939,1.0722868027742503,0.7998437042102179,,4,1,1
2008/10/18/17,10249,1,16.780076104985852,1.089179432139721,3.201092789540443,,6,1,4
2008/10/18/23,10959,2,26.284697508896798,2.0372296742403506,1.544027739757277,,13,2,3
2008/10/30/10,10502,1,20.445153304132546,1.0642734717196725,0.8697390973147971,,3,1,3
2008/10/04/16,8888,1,2.207020702070207,11.485148514851485,65.74009900990099,,2,2,42
2008/10/05/18,9074,1,1.0775843068106679,67.00154286973772,77.49702446550585,,1,8,66
2008/10/06/19,12656,8,1.5785398230088497,4.793457648546144,59.80957648546144,,2,15,23
2008/10/09/10,9091,1,1.079089209107909,18.464855351446484,53.857661423385764,,1,2,4
2008/10/11/14,18171,2,0.5500522811072588,1.0006603929337956,26.248637939574046,,1,1,27
2008/10/15/09,9095,1,1.0780648708081364,9.248708081363386,144.62594832325453,,1,1,7
2008/10/15/14,9094,1,1.0781834176380032,3.9985704860347484,144.90367275126457,,1,2,11
2008/10/15/20,9091,1,1.079089209107909,2.168078319216808,34.56231437685623,,1,4,8
2008/10/19/19,37926,2,0.29061857301059957,3.6755523914992354,20.23200442967885,,3,5,38
2008/10/22/20,18184,2,0.538220413550374,11.029311482622086,86.94924109106907,,1,12,20
2008/10/23/23,9092,1,1.0976682798064232,11.252419709634843,11.610756709194897,,1,2,4
2008/10/24/20,9092,1,1.0977782666080071,2.5076990761108666,40.45611526616806,,1,10,11
2008/10/25/11,9605,2,3.3719937532535136,1.9483602290473712,54.46559083810515,,1,2,11
2008/10/30/15,18700,3,0.5721925133689839,3.9483422459893047,256.67267379679146,,2,6,31
2008/10/01/05,22617,1,6.327983375337136,0.4297652208515718,0.5536543308131052,,8,1,1
2008/10/01/11,23085,1,0.6225254494260343,0.4127788607320771,0.550227420402859,,2,1,1
2008/10/01/15,22617,1,2.391431224300305,0.42958836273599504,1.6609629924393157,,5,1,3
2008/10/01/17,22612,1,7.197461524854059,0.4216345303378737,0.5537767557049355,,4,1,1
2008/10/01/18,45604,2,2.3117928251907727,0.21300763090956934,1.6382115603894396,,8,1,4
2008/10/01/22,22617,1,3.5438829199274884,0.4215855330061458,0.5540522615731529,,6,1,1
2008/10/01/23,627975,9,0.14890560929973326,0.015470361081253235,0.060440304152235357,,8,1,3
2008/10/02/08,92862,3,0.9664017574465336,0.43241584286360407,0.13495294092309018,,4,2,1
2008/10/02/10,70581,8,0.19108541958884118,0.42691375866026265,0.18021847239342031,,1,1,1
2008/10/03/05,22618,1,4.002873817313644,0.43027677071359094,0.5541161906446194,,5,1,1
2008/10/04/04,22618,1,1.2044389424352286,0.42209744451321957,1.662348571933858,,3,1,3
2008/10/04/07,69775,1,1.1002651379433894,0.13682551056968828,0.5563453959154425,,3,1,5
2008/10/04/20,22798,1,9.530134222300202,1.3198087551539608,2.2068602508992017,,8,1,4
2008/10/04/22,24883,5,6.9639512920467785,1.2171763854840654,0.5036772093397098,,16,1,1
2008/10/04/23,45416,2,1.4844107803417297,0.42042451999295405,1.0922802536550995,,5,2,3
2008/10/05/02,69772,1,0.766095281774924,0.13684572607922948,0.3592558619503526,,4,1,2
2008/10/05/03,69760,1,1.0988675458715595,0.13949254587155963,0.17965883027522936,,3,1,1
2008/10/05/05,23086,2,9.805119986138786,0.41336740881919776,1.093823096248809,,6,1,2
2008/10/05/06,23554,3,1.7010274263394753,0.40536639212023434,1.0641929184002716,,3,1,2
2008/10/05/14,22798,1,6.74589876304939,0.4269672778313887,0.5577682252829196,,6,1,1
2008/10/05/15,68727,4,0.9933214020690558,0.2805593143888137,0.19252986453649948,,7,2,2
2008/10/05/20,45419,2,3.1202360245712146,1.3210990994958056,0.5849314163675995,,9,5,4
2008/10/05/22,45704,3,5.937839138806232,1.0846534220199544,0.5688123577805007,,13,3,4
2008/10/05/23,22798,1,6.940126326870778,1.3195017106763751,1.099482410737784,,12,1,2
2008/10/06/17,91958,6,0.5861371495682812,0.10582004828291176,0.13629048043672112,,5,1,1
2008/10/06/20,45512,2,6.171647038143786,0.2138776586394797,0.8301546844788188,,11,1,3
2008/10/07/04,45512,2,1.687247319388293,0.2098567410792758,0.5507558446124099,,3,1,2
2008/10/07/06,68268,3,0.9335706333860667,0.13990449405285052,1.28509697076229,,3,1,7
2008/10/07/14,68271,3,2.8565862518492477,0.13989834629637768,0.18357721433698057,,11,1,1
2008/10/07/15,22757,1,1.7769038098167598,0.419695038889133,0.5503801028255042,,3,1,1
2008/10/08/00,45697,2,0.8769503468499026,0.20902903910541173,0.5486574611024794,,3,1,2
2008/10/08/03,22757,1,4.54950125236191,0.4197389814123127,0.5508634705804807,,5,1,1
2008/10/08/09,22757,1,3.983038186052643,0.4501472074526519,1.101507228545063,,5,2,2
2008/10/08/20,22759,1,6.9040819016652755,1.3225097763522122,0.5587240212663123,,9,1,1
2008/10/09/16,22945,1,1.1797777293528002,0.41634342994116363,0.5463935497929833,,2,1,1
2008/10/09/19,22943,1,7.263435470513882,0.42426884016911476,1.6469947260602362,,7,1,3
2008/10/09/21,45520,2,4.256392794376098,0.21377416520210896,1.1056019332161686,,9,1,4
2008/10/10/19,23451,2,8.078802609696815,1.2836552812246813,3.142765766918255,,18,1,3
2008/10/10/20,22761,1,12.937832256930715,0.4275295461535082,0.5629805368832652,,12,1,1
2008/10/10/21,22761,1,1.1814946619217082,0.42766135055577525,1.6738280391898424,,2,1,3
2008/10/10/22,22944,1,1.7462081589958158,0.8322001394700139,0.5542189679218968,,3,2,1
2008/10/11/02,22761,1,1.780765344229164,0.41944554281446333,1.6086287948684153,,4,1,1
2008/10/11/19,25569,7,3.146192655168368,0.3733818295592319,1.027572451014901,,6,1,4
2008/10/12/03,70542,1,1.3251396331263645,0.1353519888860537,0.1777380851124153,,7,1,1
2008/10/12/08,22761,1,0.5948772022318879,1.3219542199376126,1.6086287948684153,,1,1,1
2008/10/12/11,936,2,96.34294871794872,10.399572649572649,13.395299145299145,,4,1,1
2008/10/12/18,22941,1,5.355346323176845,0.4161980733185127,0.5465324092236606,,11,1,1
2008/10/12/20,22761,1,5.152146215016915,0.41948947761521904,0.5586749264092087,,6,1,1
2008/10/12/23,45522,2,4.07798427134133,0.20974473880760952,0.5659022011335179,,14,1,3
2008/10/13/00,22761,1,5.184965511181407,0.41948947761521904,1.6086287948684153,,8,1,1
2008/10/13/02,22761,1,3.3670752603136944,1.322173893941391,3.789112956372743,,3,1,4
2008/10/13/12,22941,1,4.3732182555250425,0.4161980733185127,0.5465324092236606,,3,1,1
2008/10/13/19,23457,2,5.67966918190732,0.40704267382870785,1.0766508931235879,,12,1,2
2008/10/14/00,23699,3,2.2823747837461497,0.48082197561078527,1.5449597029410524,,5,3,1
2008/10/14/01,68334,3,4.098003921912957,0.13972546609301373,1.1067989580589457,,10,1,7
2008/10/14/12,22762,1,1.7609612512081538,0.4194710482382919,0.5585625164748265,,3,1,1
2008/10/14/22,512,1,184.83984375,19.013671875,24.83203125,,9,1,1
2008/10/15/08,22772,1,4.971631828561391,1.3217547865800106,1.6073247848234675,,3,1,1
2008/10/15/15,22955,1,1.7699411892833805,0.4153343498148552,1.2385536920060989,,3,1,6
2008/10/15/22,22773,1,5.154437272208317,0.846133579238572,0.5505642646994248,,7,2,1
2008/10/15/23,68602,3,1.70430891227661,0.27787819597096297,0.36552870178711994,,6,2,2
