,<bytes_Click_(2006_film)>,<traf_Click_(2006_film)>,bratio_2030,bratio_Marco_Khan,bratio_Norman_Gimbel,traf_2030,traf_Marco_Khan,traf_Norman_Gimbel
2008/10/01/05,22617,1,6.327983375337136,0.4297652208515718,0.5536543308131052,8,1,1
2008/10/01/11,23085,1,0.6225254494260343,0.4127788607320771,0.550227420402859,2,1,1
2008/10/01/15,22617,1,2.391431224300305,0.42958836273599504,1.6609629924393157,5,1,3
2008/10/01/17,22612,1,7.197461524854059,0.4216345303378737,0.5537767557049355,4,1,1
2008/10/01/18,45604,2,2.3117928251907727,0.21300763090956934,1.6382115603894396,8,1,4
2008/10/01/22,22617,1,3.5438829199274884,0.4215855330061458,0.5540522615731529,6,1,1
2008/10/01/23,627975,9,0.14890560929973326,0.015470361081253235,0.060440304152235357,8,1,3
2008/10/02/08,92862,3,0.9664017574465336,0.43241584286360407,0.13495294092309018,4,2,1
2008/10/02/10,70581,8,0.19108541958884118,0.42691375866026265,0.18021847239342031,1,1,1
2008/10/03/05,22618,1,4.002873817313644,0.43027677071359094,0.5541161906446194,5,1,1
2008/10/04/04,22618,1,1.2044389424352286,0.42209744451321957,1.662348571933858,3,1,3
2008/10/04/07,69775,1,1.1002651379433894,0.13682551056968828,0.5563453959154425,3,1,5
2008/10/04/20,22798,1,9.530134222300202,1.3198087551539608,2.2068602508992017,8,1,4
2008/10/04/22,24883,5,6.9639512920467785,1.2171763854840654,0.5036772093397098,16,1,1
2008/10/04/23,45416,2,1.4844107803417297,0.42042451999295405,1.0922802536550995,5,2,3
2008/10/05/02,69772,1,0.766095281774924,0.13684572607922948,0.3592558619503526,4,1,2
2008/10/05/03,69760,1,1.0988675458715595,0.13949254587155963,0.17965883027522936,3,1,1
2008/10/05/05,23086,2,9.805119986138786,0.41336740881919776,1.093823096248809,6,1,2
2008/10/05/06,23554,3,1.7010274263394753,0.40536639212023434,1.0641929184002716,3,1,2
2008/10/05/14,22798,1,6.74589876304939,0.4269672778313887,0.5577682252829196,6,1,1
2008/10/05/15,68727,4,0.9933214020690558,0.2805593143888137,0.19252986453649948,7,2,2
2008/10/05/20,45419,2,3.1202360245712146,1.3210990994958056,0.5849314163675995,9,5,4
2008/10/05/22,45704,3,5.937839138806232,1.0846534220199544,0.5688123577805007,13,3,4
2008/10/05/23,22798,1,6.940126326870778,1.3195017106763751,1.099482410737784,12,1,2
2008/10/06/17,91958,6,0.5861371495682812,0.10582004828291176,0.13629048043672112,5,1,1
2008/10/06/20,45512,2,6.171647038143786,0.2138776586394797,0.8301546844788188,11,1,3
2008/10/07/04,45512,2,1.687247319388293,0.2098567410792758,0.5507558446124099,3,1,2
2008/10/07/06,68268,3,0.9335706333860667,0.13990449405285052,1.28509697076229,3,1,7
2008/10/07/14,68271,3,2.8565862518492477,0.13989834629637768,0.18357721433698057,11,1,1
2008/10/07/15,22757,1,1.7769038098167598,0.419695038889133,0.5503801028255042,3,1,1
2008/10/08/00,45697,2,0.8769503468499026,0.20902903910541173,0.5486574611024794,3,1,2
2008/10/08/03,22757,1,4.54950125236191,0.4197389814123127,0.5508634705804807,5,1,1
2008/10/08/09,22757,1,3.983038186052643,0.4501472074526519,1.101507228545063,5,2,2
