,<bytes_Renard_R.31>,<traf_Renard_R.31>,bratio_Belgian_Air_Component,bratio_Fairey_Fox,bratio_Rolls-Royce_Kestrel,traf_Belgian_Air_Component,traf_Fairey_Fox,traf_Rolls-Royce_Kestrel
2008/10/01/00,11158,1,3.915397024556372,2.2633088367090877,44.684889765190896,2,2,15
2008/10/01/02,11340,1,5.7708994708994705,2.242857142857143,1.2339506172839507,3,2,1
2008/10/01/14,11338,1,17.516228611748105,4.781266537308167,2.484212383136356,13,2,2
2008/10/02/21,11158,1,1.9661229611041404,2.263488080301129,2.540598673597419,1,2,2
2008/10/03/12,11611,2,5.652484712772371,1.168202566531737,5.689690810438377,3,3,2
2008/10/03/17,11152,1,1.9507711621233859,1.148493543758967,4.636567431850789,1,1,1
2008/10/06/14,11599,2,7.629709457711872,4.652297611863092,2.443572721786361,6,2,2
2008/10/06/15,11144,1,3.9364680545585067,2.431981335247667,3.819813352476669,2,6,4
2008/10/06/17,11330,1,1.9197705207413944,3.649161518093557,1.2347749338040601,1,1,1
2008/10/06/21,11328,1,13.750176553672317,3.3575211864406778,2.4708686440677967,11,3,2
2008/10/07/03,11135,1,1.9529411764705882,1.1330938482263133,1.5930848675348002,1,1,9
2008/10/07/15,11325,1,7.748079470198675,4.764679911699779,2.503664459161148,4,2,2
2008/10/07/23,11148,1,3.982238966630786,5.9715644061715105,5.037585217079297,3,3,4
2008/10/08/19,11329,1,15.182540383087652,1.1137787977756202,2.470650542854621,5,1,2
2008/10/08/22,11148,1,3.9359526372443487,1.1318622174381054,7.211607463222102,2,1,4
2008/10/08/23,11842,2,1.83685188312785,2.1465124134436753,1.1818105049822665,1,2,1
2008/10/09/11,11148,1,23.17563688554001,5.98815931108719,7.181019016864012,9,3,3
2008/10/10/01,34297,1,4.3549873166749276,0.36787474123101144,0.40805318249409567,3,1,1
2008/10/10/15,11333,1,7.742874790435013,2.2880084708373776,4.576281655342804,4,3,1
2008/10/11/21,11344,1,1.9174894217207334,1.1285260930888577,2.4834273624823697,1,1,2
2008/10/12/17,11136,1,12.041217672413794,1.1608297413793103,1.2567349137931034,11,1,1
2008/10/14/18,11344,1,8.083303949224259,4.4775211565585336,4.557299012693935,12,4,1
2008/10/14/19,45482,2,0.9605118508420913,1.4818829427026077,0.338661448485115,2,4,4
2008/10/14/20,33830,3,6.263878214602424,0.750812887969258,0.4190363582618977,2,2,1
2008/10/15/01,11145,1,8.302736653207717,1.131269627635711,2.528039479587259,14,1,2
2008/10/15/14,11344,1,18.952926657263752,1.127644569816643,1.2499118476727786,6,1,1
2008/10/15/19,22493,2,16.07126661628062,2.2959142844440494,0.8307473436180145,5,6,11
2008/10/16/14,11158,1,13.480552070263489,2.273973830435562,6.7826671446495785,4,2,15
2008/10/16/23,11341,1,13.249008023983775,2.237280663080857,1.2754607177497574,4,2,2
2008/10/17/10,11341,1,4.11692090644564,1.126708403139053,1.2502424830261882,8,1,1
2008/10/17/13,11344,1,15.200811001410438,2.478490832157969,5.823254583921016,4,7,2
2008/10/18/18,11344,1,3.853755289139633,1.1103667136812412,5.807210860366713,2,1,2
2008/10/19/11,34307,1,3.202436820473956,0.3724895793861311,1.5069227854373743,5,1,1
2008/10/19/19,22685,2,8.565395635882743,1.6898391007273528,0.6250385717434428,5,3,1
2008/10/20/05,11149,1,6.872724011122074,2.2595748497623105,1.2553592250426047,3,2,1
2008/10/20/08,11344,1,4.114509873060649,1.1711918194640338,7.163434414668547,7,2,5
2008/10/21/12,11344,1,2.5758110014104374,3.363099435825106,1.2499118476727786,15,3,1
2008/10/22/22,11343,1,1.9271797584413295,3.4088865379529225,1.233888741955391,1,4,1
2008/10/23/08,34297,1,3.7910604426043095,1.1995218240662449,0.4080823395632271,6,1,1
2008/10/23/13,22473,2,10.464468473279046,1.137275842121657,0.622791794597962,4,2,1
2008/10/24/14,12369,3,5.410865874363328,2.0514997170345217,4.540949147061202,4,2,4
2008/10/24/20,11160,1,9.810394265232976,1.1907706093189965,7.264695340501792,5,2,5
2008/10/25/23,11183,1,9.534919073593848,2.3109183582223016,2.519180899579719,2,3,2
2008/10/26/02,11184,1,1.9545779685264664,1.1262517882689556,1.2677932761087267,1,1,1
2008/10/26/20,11853,2,9.501307685817936,2.1408082342023116,2.376360415084789,10,2,2
2008/10/26/21,11340,1,5.951499118165785,2.2376543209876543,3.841446208112875,6,2,5
2008/10/27/09,11340,1,3.888095238095238,2.237389770723104,1.341005291005291,2,2,3
2008/10/27/13,11161,1,6.0012543678881825,9.729504524684168,2.5863273900188157,5,4,3
2008/10/27/16,11340,1,5.832275132275132,1.110758377425044,1.234215167548501,3,1,1
2008/10/27/21,11343,1,9.912016221458169,2.2367980252137882,1.233888741955391,10,2,1
2008/10/27/22,22680,2,3.8922398589065255,1.1491181657848324,0.6250440917107584,5,3,1
2008/10/28/09,34594,1,3.703330057235359,3.962681389836388,1.9060819795340231,2,4,2
2008/10/28/18,11343,1,11.310940668253549,1.1119633253989245,10.392047959093714,2,1,3
2008/10/29/07,11343,1,7.515119456933792,4.79538041082606,2.4673366834170856,19,2,2
2008/10/29/13,35207,1,3.638878632090209,1.1820660664072487,1.2175135626437925,2,1,4
2008/10/29/16,22683,2,7.616541021910682,0.5634175373627827,0.6168055371864392,5,1,1
2008/10/29/20,11340,1,7.851058201058201,1.1720458553791888,1.3538800705467373,7,2,4
2008/10/29/21,11343,1,7.757647888565635,2.2393546680772283,1.249757559728467,4,2,1
2008/10/30/05,105142,3,0.20790930360845333,1.1822392573852505,0.13311521561317077,1,3,1
2008/10/30/13,70440,2,1.8221465076660988,0.7722884724588303,3.9012634866553095,2,2,6
2008/10/30/15,11343,1,3.887066913514943,1.2091157542096447,2.499779599753152,2,1,2
2008/10/30/20,22701,2,1.062111801242236,2.381436941103916,6.925597991277917,5,2,3
2008/10/31/02,11356,1,1.9249735822472702,0.04121169425854174,1.232476224022543,1,1,1
2008/10/31/13,35044,1,1.9699520602670928,0.36026138568656546,0.39938363200547883,9,1,1
2008/10/31/20,11355,1,1.942668428005284,5.007926023778071,1.248701012769705,1,7,1
