	<bytes_page>	<traf_page>	bratio_il0	bratio_il1	bratio_il2	bratio_il3	bratio_il4	traf_il0	traf_il1	traf_il2	traf_il3	traf_il4
2008/10/01/02	17906	1	2.005137943	8.495588071	1.638165978	21.06254887	0.353736178	3	14	3	25	1
2008/10/01/09	17913	1	0.424552001	8.55272707	0.542343549	5.76313292	0.363758164	1	11	1	7	1
2008/10/01/10	36010	2	1.297139683	2.746959178	0.544737573	7.469813941	0.175895585	6	4	2	9	1
2008/10/01/12	17915	1	2.042422551	1.711024281	1.094613452	6.592687692	0.353558471	4	3	2	4	1
2008/10/01/18	36016	2	0.996806975	3.11008996	0.828215238	2.849261439	0.361839183	3	11	4	6	2
2008/10/01/19	18095	1	1.994252556	5.538601824	1.073777287	7.607736944	0.973362807	3	8	2	9	1
2008/10/01/23	36010	2	0.432379894	3.111274646	0.269813941	7.49572341	0.489114135	2	12	1	10	1
2008/10/02/02	17915	1	0.424560424	6.141668992	0.542338822	23.82790957	0.37973765	1	8	1	25	2
2008/10/02/03	53925	3	0.00867872	4.973852573	0.180176171	12.52934631	0.234955957	1	15	1	27	2
2008/10/02/19	17916	1	0.434751061	3.414824738	0.542308551	12.4895624	1.778131279	1	7	1	14	5
2008/10/02/22	17916	1	2.869334673	5.659912927	6.096282652	12.3116209	0.35588301	6	10	9	10	1
2008/10/02/23	58704	1	0.262247888	2.540849005	0.165508313	4.973749659	0.323742845	2	9	1	20	3
2008/10/03/00	58704	1	0.391813164	1.393942491	1.691963069	4.687142273	0.215828564	3	10	8	18	2
2008/10/03/11	53928	3	0.144433318	0.755266281	0.180166147	1.591640706	0.120846314	1	4	1	5	1
2008/10/03/14	17916	1	0.434751061	8.956965841	1.758539853	8.562904666	0.992241572	1	11	1	8	1
2008/10/03/19	36300	3	0.20953168	5.835922865	1.40815427	7.26077135	0.348898072	1	18	3	13	2
2008/10/03/20	17916	1	0.463831212	4.525563742	2.19937486	22.95512391	0.36375307	2	8	4	19	1
2008/10/03/21	17916	1	1.58015182	5.591147578	1.084617102	18.56457915	0.36375307	2	7	2	19	1
2008/10/04/02	36300	3	0.779862259	1.983801653	0.27261708	3.663746556	0.349807163	2	9	1	12	2
2008/10/04/07	53748	3	0.144972836	1.679374116	0.180769517	4.272810151	0.117864851	1	6	1	16	1
2008/10/04/15	18384	2	0.837412968	4.352643603	5.048030896	4.449086162	0.714643168	2	5	12	6	3
2008/10/04/18	17916	1	0.424536727	3.995311453	1.085398526	7.925150703	1.336291583	1	9	2	6	2
2008/10/04/19	74472	10	0.20665485	0.975373295	2.364579976	2.873039532	0.172574927	2	11	7	12	2
2008/10/04/23	18096	1	1.133786472	5.517904509	1.637875774	7.330625553	0.350077365	1	7	4	9	1
2008/10/05/03	17916	1	0.435030141	7.905726725	4.046885466	12.91499219	0.353594552	1	14	9	21	1
2008/10/05/05	89580	5	0.090131726	1.027450324	1.104029917	4.999363697	0.141437821	2	10	33	23	2
2008/10/05/17	18096	1	0.850906278	2.902796198	2.206288683	6.445789125	0.748452697	2	8	5	8	3
2008/10/05/23	58694	1	0.482178758	2.576276962	0.665672812	4.173237469	0.107932668	2	11	4	16	1
2008/10/06/00	76609	2	0.101672127	0.926575207	0.396702737	2.568614654	0.170267201	1	7	5	13	2
2008/10/06/15	76811	2	0.099022275	0.263347698	8.755881319	2.162724089	0.311869394	1	2	24	10	2
2008/10/07/02	17912	1	0.424631532	2.841893703	0.542485485	16.9668937	0.983921393	1	5	1	16	1
2008/10/07/04	35824	2	0.212315766	1.378265967	2.31861322	5.903835418	0.354287628	1	2	6	16	2
2008/10/07/18	58726	1	0.265265811	2.899942104	1.548683718	3.271072438	0.108078194	2	11	9	10	1
2008/10/07/23	112462	4	0.135263467	1.530801515	0.346001316	2.374882182	0.112873682	2	15	4	11	2
2008/10/09/17	18096	1	1.133731211	8.406167109	1.074933687	13.3418435	0.350740495	1	13	2	12	1
2008/10/09/23	18380	2	0.414526659	7.697878128	3.831392818	22.02992383	0.345321001	1	13	5	26	1
2008/10/10/01	17912	1	0.850435462	6.24704109	2.741011612	19.51937249	0.708128629	2	12	6	18	2
2008/10/10/04	72116	5	0.28434744	1.245077375	0.404528815	2.478021521	0.088010982	1	6	3	13	1
2008/10/10/05	36760	4	1.18898259	6.528454842	0.264581066	11.85413493	0.177693145	4	17	1	32	1
2008/10/10/07	18096	1	0.851624668	8.806918656	1.100740495	11.69805482	2.920645447	2	10	3	14	3
2008/10/10/13	36292	3	0.209936074	2.447123333	0.813457511	2.764328227	0.174887027	1	3	3	6	1
2008/10/10/19	18099	1	0.851317752	4.517652909	1.671970827	6.369523178	0.360793414	2	9	5	7	1
2008/10/10/20	17912	1	0.42507816	10.71974096	1.663354176	21.82564761	0.354064314	1	17	4	15	1
2008/10/11/04	17907	1	0.425476071	6.83888982	3.823365164	12.69771598	0.354442397	1	14	8	16	1
2008/10/11/16	17951	1	1.716673166	3.400701911	2.715726143	11.79081945	0.363600914	4	6	5	16	1
2008/10/11/23	73463	5	0.209779072	1.975987912	0.399194152	4.897295237	0.326232253	2	20	3	15	2
2008/10/12/00	18192	1	0.418810466	3.987741865	0.102902375	25.96047713	0.348889622	1	9	4	21	1
2008/10/12/05	59753	1	0.262848727	2.4003481	0.487757937	3.282362392	0.212441216	3	15	3	17	2
2008/10/12/16	18192	1	0.418810466	8.972680299	1.601967898	13.35306728	0.707673703	1	17	3	15	2
2008/10/12/18	18192	1	0.428210202	6.699978012	2.680079156	20.61768909	0.348889622	1	12	5	15	1
2008/10/12/19	18192	1	0.453935796	9.9044635	1.679254617	19.0976803	0.967568162	2	12	6	17	1
2008/10/12/20	19126	3	0.805814075	3.181846701	2.583655757	16.90306389	0.673271986	2	6	6	20	2
2008/10/12/21	36385	2	0.651669644	4.434602171	0.811130961	9.584471623	0.538326233	4	13	3	18	3
2008/10/12/22	78581	3	0.09695728	1.299754394	0.373270892	4.078186839	0.080770161	1	11	3	18	1
2008/10/13/03	36386	2	0.563238608	5.878497224	1.119441543	6.73811356	0.663716814	1	23	8	19	2
2008/10/13/13	59946	1	1.985653755	2.180862776	0.165098589	3.263136823	0.105878624	7	10	1	13	1
2008/10/13/16	36386	2	0.223712417	4.400538669	0.551915572	5.2256912	0.179464629	2	10	3	9	1
2008/10/13/17	18193	1	1.972681801	10.91271368	15.49612488	12.24344528	0.358929259	3	11	12	11	1
2008/10/13/18	18376	1	0.423922508	7.159828037	2.773617762	10.57771006	0.355354811	1	12	10	12	1
2008/10/13/20	19129	3	1.876156621	5.817240839	2.030686392	23.40801924	0.331799885	3	11	4	25	1
2008/10/13/21	18193	1	1.13697576	6.773979003	3.213158907	16.93030286	0.358929259	1	15	6	19	1
2008/10/13/22	73708	6	0.31706192	1.914378358	0.802002496	3.030620828	0.184851034	3	12	7	12	4
2008/10/13/23	91489	6	0.168238805	1.835717955	0.44868782	2.074948901	0.06937446	2	25	2	9	1
2008/10/14/02	936	2	16.44444444	98.08867521	20.7542735	238.0769231	18.82371795	2	11	2	12	1
2008/10/14/10	18193	1	0.443522234	3.414774913	0.739680097	2.666904854	0.968449404	2	8	9	3	1
2008/10/14/15	36569	2	0.453608247	7.241844185	2.515792064	1.354589953	0.178484509	4	12	5	4	1
2008/10/14/19	59761	1	0.387978782	1.698515754	0.324977828	4.819112799	0.106206389	3	11	2	16	1
2008/10/14/20	18661	2	0.835217834	7.128503296	3.358555276	19.3401747	0.680242216	2	15	2	17	2
2008/10/14/22	36386	2	0.986615731	6.05092618	1.339855989	6.256169955	0.174297807	3	16	5	15	1
2008/10/15/17	60217	2	0.384957736	5.254512845	1.366823322	5.404370859	0.108391318	3	14	4	27	1
2008/10/15/21	18376	1	1.550555072	8.221103613	2.19296909	13.91614062	0.957281236	2	13	6	14	1
2008/10/16/15	18193	1	1.983730006	8.275765404	3.346836695	17.41290606	0.358929259	3	11	4	14	1
2008/10/16/17	36386	2	0.42804925	3.36230968	0.534766119	9.171357115	0.348870445	2	13	2	15	2
2008/10/16/22	18193	1	0.4279668	5.123783873	1.095091519	25.09492662	0.348870445	1	13	3	34	1
2008/10/17/13	18193	1	0.4279668	0.555488375	1.240147309	9.789699335	0.358929259	1	1	8	11	1
2008/10/17/20	36388	2	0.213834231	3.906370232	1.336704408	7.362124876	0.52838848	1	15	5	11	3
2008/10/17/21	19399	3	0.392546008	4.831537708	1.52848085	14.13938863	0.678643229	1	14	4	20	3
2008/10/17/22	513	1	76.57699805	101.4269006	37.92592593	717.7719298	12.73099415	6	8	2	20	1
2008/10/18/00	18486	1	0.41112193	6.631721303	0.526290166	26.12885427	0.357405604	1	14	1	31	1
2008/10/18/01	18194	1	0.466802242	6.074475102	2.184566341	29.9789491	0.374683962	3	8	5	22	2
2008/10/18/20	18376	1	0.413637353	1.670929473	1.058881149	8.882020026	0.345450588	1	3	2	10	1
2008/10/19/05	72775	4	0.281772587	1.666231536	0.267372037	3.52153899	0.087227757	1	12	2	13	1
2008/10/20/07	18195	1	0.427919758	5.500357241	0.534707337	17.19527343	0.348887057	1	7	1	11	1
2008/10/20/17	18376	1	0.423868089	10.82787331	7.401665215	21.47899434	0.345178494	1	11	7	16	1
2008/10/20/20	36390	2	0.214042319	3.905880736	0.802061006	10.71791701	0.348887057	1	13	3	13	2
2008/10/20/22	55053	4	0.141427352	1.861460774	0.914882023	5.55106897	0.230614135	1	12	8	16	2
2008/10/20/23	18195	1	0.447100852	4.443418522	4.575872492	33.13838967	0.348887057	2	7	13	28	1
2008/10/21/01	18663	2	0.814017039	4.411938059	1.042597653	23.78754755	0.340138241	2	11	2	20	1
2008/10/21/10	18195	1	1.137840066	4.948612256	0.544820005	14.55757076	0.358779885	1	6	1	9	1
2008/10/22/17	36390	2	0.987056884	2.787386645	1.396180269	5.738059907	0.348887057	3	10	3	12	2
2008/10/22/20	36390	2	0.780736466	3.940093432	0.57856554	6.740945315	0.174443528	2	16	5	16	1
2008/10/22/22	73317	5	0.10619638	0.84002346	0.546380785	2.446417611	0.086582921	1	8	6	11	1
2008/10/23/03	18195	1	1.617532289	4.393075021	1.604286892	33.38114867	0.348612256	2	5	3	30	1
2008/10/23/04	59741	1	0.343432484	0.846152559	1.46627944	6.290721615	0.408647328	1	5	9	26	3
2008/10/23/20	18196	1	1.692734667	3.964277863	2.7484612	16.58556826	0.707902836	4	10	8	13	2
2008/10/24/16	36560	2	0.426094092	2.523851204	1.128610503	5.245350109	0.352188184	2	11	2	9	2
2008/10/24/17	36753	2	0.211846652	2.72154654	0.529072457	10.79754034	0.350338748	1	7	2	18	2
2008/10/24/22	18195	1	0.855839516	3.392580379	1.068755153	15.77010168	0.348887057	2	7	2	14	1
2008/10/25/04	72780	4	0.115526243	0.97502061	0.273619126	3.369909316	0.087221764	3	7	3	16	1
2008/10/25/19	60024	1	0.12684926	1.855407837	0.663534586	3.857073837	0.115087298	1	11	6	17	2
2008/10/25/21	36785	2	0.907163246	1.659072992	0.295065924	8.023270355	0.172570341	9	6	3	20	1
2008/10/26/17	18211	1	0.427598704	4.509417385	0.544615891	18.1776948	1.341771457	1	10	1	12	2
2008/10/26/22	18211	1	2.476140794	7.888309264	2.720937895	29.2864203	0.348580528	6	17	7	30	1
2008/10/26/23	18391	1	1.684193355	5.493447882	2.135772932	24.71806862	0.345168833	4	8	4	27	1
2008/10/27/10	54636	3	0.148345413	0.740903434	1.298850575	1.722399151	0.348561388	2	4	5	3	3
2008/10/27/17	18212	1	0.429661761	2.244344388	1.078300022	20.28058423	0.983527345	1	4	2	18	1
2008/10/27/19	18212	1	0.848890841	5.622062376	2.880133978	8.082088733	0.697122776	2	11	3	9	2
2008/10/27/21	54996	3	0.799694523	1.475416394	1.069277766	6.406847771	0.115426576	4	8	7	17	1
2008/10/28/02	54782	3	0.519641488	0.747453543	1.91566573	5.082344566	0.115877478	2	5	4	19	1
2008/10/28/04	55821	6	0.372404651	3.575840633	0.174540048	7.140556421	0.113720643	1	11	1	33	1
2008/10/28/14	18320	1	0.843995633	7.635207424	1.67319869	15.36342795	0.356441048	2	8	6	9	1
2008/10/28/20	36280	2	0.210556781	3.423566703	1.922298787	7.912265711	0.179933848	1	16	9	13	1
2008/10/28/21	36460	2	0.209517279	3.881047724	1.671530444	6.755814591	0.353236423	1	12	4	16	2
2008/10/28/22	18140	1	0.852535832	13.44751929	3.957607497	9.080099228	0.349944873	2	12	7	11	1
2008/10/29/00	36458	2	0.419057546	2.780596851	0.811454276	5.827417851	0.174118163	2	10	3	13	1
2008/10/29/04	18141	1	0.421090348	7.744005292	1.07535417	9.968358966	0.349925583	1	10	2	14	1
2008/10/29/06	73032	5	0.104597984	1.247056085	0.400673677	4.14401906	0.086920802	1	9	3	13	1
2008/10/29/14	133256	5	0.318694843	0.235163895	0.312188569	0.95282764	0.056087531	2	4	2	5	1
2008/10/29/16	37158	3	0.20544701	2.877307713	0.796356101	4.44361914	0.189434308	1	16	3	10	2
2008/10/29/17	36465	2	0.214616756	2.789469354	0.83839298	3.961195667	0.174084739	1	8	5	6	1
2008/10/29/21	55332	3	0.905570014	2.769970361	0.771831851	6.503524181	0.331110388	3	11	10	21	1
2008/10/30/00	18388	1	0.841037633	5.037361323	3.926201871	21.74108114	0.690450294	2	9	6	16	2
2008/10/30/01	36776	2	0.207716989	4.409886883	0.269333261	6.736186643	0.172612573	1	10	1	15	1
2008/10/30/05	55344	3	0.141352269	0.94704033	0.357943047	7.60290185	0.5605305	1	7	2	20	3
2008/10/30/09	36959	2	0.413376985	4.076273709	0.267999675	4.036283449	0.171757894	2	6	1	10	1
2008/10/30/16	111054	6	0.137527689	0.476308823	0.089190844	1.635060421	0.058782214	2	8	1	11	1
2008/10/30/17	426926	26	0.054117107	0.173327462	0.069625649	0.660861601	0.029738175	3	11	3	20	2
2008/10/30/18	577990	30	0.053831381	0.229446876	0.017128324	0.287338881	0.010974238	4	10	1	10	1
2008/10/30/20	785780	50	0.056665988	0.15371478	0.025210619	0.572796457	0.016157194	4	6	2	20	2
2008/10/30/23	406762	26	0.037560047	0.433201725	0.36452766	0.557640586	0.015593885	2	18	6	11	1
2008/10/31/15	245058	12	0.062344425	0.126055872	0.212019195	1.06035714	0.026650834	2	3	3	13	1
2008/10/31/17	342036	15	0.068080553	0.447873908	0.058014361	0.678855442	0.01908571	3	12	2	16	1
2008/10/31/18	203963	14	0.037452871	0.20285542	0.097311767	1.03357962	0.032020514	1	4	2	11	1
2008/10/31/20	742772	40	0.010284448	0.042217531	0.04007017	0.359235405	0.0087887	1	4	3	19	1
2008/10/31/21	982108	53	0.037187356	0.063094894	0.010104795	0.298771622	0.013113629	3	6	1	16	2
2008/10/31/23	773419	43	0.019753846	0.093240533	0.025936782	0.277784745	0.008440444	2	7	2	13	1
2008/10/01/06	19551	2	4.32688865	1.801953864	33.6910644	1.660989208	2.085673367	10	1	8	4	3
2008/10/01/17	9778	1	10.83790141	1.126201677	66.22417672	2.138371855	0.969318879	16	1	14	2	1
2008/10/02/03	10252	2	3.109832228	5.587300039	57.35983223	2.08583691	2.773800234	6	3	10	3	3
2008/10/03/05	9784	1	9.186937858	1.126124285	68.66271464	2.137775961	0.968724448	18	1	19	2	1
2008/10/03/16	32253	1	2.318078938	1.09853347	12.53167147	1.941617834	1.898924131	11	1	19	3	2
2008/10/04/19	51640	3	0.860321456	1.118319132	11.29804415	2.2732378	0.773218435	7	4	30	11	2
2008/10/05/07	32260	1	0.992777433	1.098388097	9.156726596	29.73608184	1.898202108	6	1	6	23	2
2008/10/05/10	9784	1	3.975776778	2.252248569	20.6276574	1.06888798	1.940923957	7	2	8	1	2
2008/10/05/14	9967	1	8.210494632	1.124109562	28.2223337	1.06792415	0.971204976	12	1	9	1	1
2008/10/05/17	19934	2	5.284087489	0.588040534	14.24977426	2.349152202	0.485752985	15	2	15	33	1
2008/10/07/17	19931	2	6.015252622	0.562139381	20.91816768	1.057799408	0.485725754	13	1	13	2	1
2008/10/07/20	9784	1	10.91854047	1.126124285	57.35844235	2.156071137	0.969439902	16	1	17	2	1
2008/10/08/14	9964	1	10.73052991	1.124146929	91.89552389	2.135989562	0.971296668	10	1	12	2	1
2008/10/09/00	29347	3	3.528231165	0.375438716	12.84069922	2.143489965	0.988210039	13	1	12	4	4
2008/10/10/01	19568	2	5.350981194	0.563062142	56.69342805	1.092702371	0.484566639	17	1	27	3	1
2008/10/10/03	9813	1	12.47477836	3.591154591	59.20014267	1.065627229	0.969428309	16	1	15	1	1
2008/10/10/12	9784	1	5.461672118	1.123875715	62.60353639	1.087489779	0.969133279	5	1	11	1	1
2008/10/10/14	9784	1	6.781582175	1.172526574	152.9567661	6.127964023	0.969133279	7	2	21	21	1
2008/10/10/20	19568	2	4.404333606	1.125	18.59479763	0.54374489	0.484617743	12	2	10	1	1
