,<bytes_Ar_Tonelico>,<traf_Ar_Tonelico>,bratio_505_Games,bratio_Cross_Edge,bratio_List_of_anime_based_on_video_games,bratio_Mona_Marshall,bratio_Snazin_Smith,traf_505_Games,traf_Cross_Edge,traf_List_of_anime_based_on_video_games,traf_Mona_Marshall,traf_Snazin_Smith
2008/10/01/02,17906,1,2.005137942589076,8.495588071037641,1.638165977884508,21.0625488663018,0.35373617781749134,3,14,3,25,1
2008/10/01/09,17913,1,0.4245520013398091,8.552727069725897,0.542343549377547,5.763132920225535,0.3637581644615642,1,11,1,7,1
2008/10/01/10,36010,2,1.2971396834212718,2.7469591780061093,0.5447375728964177,7.469813940572063,0.1758955845598445,6,4,2,9,1
2008/10/01/12,17915,1,2.0424225509349707,1.7110242813284957,1.094613452414178,6.592687691878314,0.3535584705554005,4,3,2,4,1
2008/10/01/18,36016,2,0.9968069746779209,3.11008996001777,0.8282152376721457,2.8492614393602844,0.36183918258551756,3,11,4,6,2
2008/10/01/19,18095,1,1.9942525559546835,5.538601823708206,1.073777286543244,7.607736943907157,0.9733628074053606,3,8,2,9,1
2008/10/01/23,36010,2,0.4323798944737573,3.111274645931686,0.2698139405720633,7.495723410163843,0.48911413496251044,2,12,1,10,1
2008/10/02/02,17915,1,0.4245604242255093,6.141668992464416,0.5423388222160201,23.827909572983533,0.37973765001395476,1,8,1,25,2
2008/10/02/03,53925,3,0.008678720445062587,4.973852573018081,0.180176170607325,12.529346314325451,0.23495595734816876,1,15,1,27,2
2008/10/02/19,17916,1,0.4347510605045769,3.414824737664657,0.5423085510158517,12.489562402321948,1.7781312793034159,1,7,1,14,5
2008/10/02/22,17916,1,2.869334672918062,5.659912926992632,6.096282652377763,12.311620897521768,0.35588300960035724,6,10,9,10,1
2008/10/02/23,58704,1,0.2622478877078223,2.5408490051785226,0.16550831289179613,4.973749659307713,0.32374284546197873,2,9,1,20,3
2008/10/03/00,58704,1,0.3918131643499591,1.3939424911420006,1.691963068956119,4.687142273098937,0.21582856364131917,3,10,8,18,2
2008/10/03/11,53928,3,0.14443331849873906,0.7552662809672156,0.1801661474558671,1.5916407061266875,0.12084631360332294,1,4,1,5,1
2008/10/03/14,17916,1,0.4347510605045769,8.956965840589417,1.75853985264568,8.562904666220138,0.9922415717794151,1,11,1,8,1
2008/10/03/19,36300,3,0.20953168044077136,5.835922865013774,1.4081542699724519,7.260771349862259,0.34889807162534436,1,18,3,13,2
2008/10/03/20,17916,1,0.4638312123241795,4.525563741906676,2.199374860459924,22.955123911587407,0.36375306988167,2,8,4,19,1
2008/10/03/21,17916,1,1.5801518196025899,5.591147577584282,1.0846171020317035,18.564579147131056,0.36375306988167,2,7,2,19,1
2008/10/04/02,36300,3,0.7798622589531681,1.983801652892562,0.27261707988980716,3.6637465564738294,0.3498071625344353,2,9,1,12,2
2008/10/04/07,53748,3,0.14497283619855622,1.679374116246186,0.18076951700528393,4.272810151075388,0.1178648507851455,1,6,1,16,1
2008/10/04/15,18384,2,0.8374129677980853,4.352643603133159,5.04803089643168,4.449086161879896,0.7146431679721497,2,5,12,6,3
2008/10/04/18,17916,1,0.42453672694797945,3.9953114534494305,1.0853985264567985,7.925150703281982,1.3362915829426212,1,9,2,6,2
2008/10/04/19,74472,10,0.20665485014502094,0.9753732946610807,2.3645799763669566,2.873039531636051,0.17257492748952627,2,11,7,12,2
2008/10/04/23,18096,1,1.1337864721485411,5.517904509283819,1.6378757736516356,7.3306255526083115,0.3500773651635721,1,7,4,9,1
2008/10/05/03,17916,1,0.4350301406563965,7.905726724715338,4.046885465505693,12.914992185755748,0.35359455235543646,1,14,9,21,1
2008/10/05/05,89580,5,0.09013172583165885,1.0274503237329762,1.104029917392275,4.999363697253851,0.14143782094217458,2,10,33,23,2
2008/10/05/17,18096,1,0.8509062776304156,2.9027961980548187,2.206288682581786,6.445789124668435,0.7484526967285589,2,8,5,8,3
2008/10/05/23,58694,1,0.4821787576242887,2.576276961870038,0.6656728115309912,4.173237468906533,0.10793266773435103,2,11,4,16,1
2008/10/06/00,76609,2,0.10167212729574854,0.9265752065684189,0.3967027372762991,2.5686146536307746,0.1702672009816079,1,7,5,13,2
2008/10/06/15,76811,2,0.09902227545533843,0.2633476975953965,8.755881319081903,2.1627240889976695,0.3118693937066306,1,2,24,10,2
2008/10/07/02,17912,1,0.4246315319338991,2.8418937025457796,0.5424854845913354,16.96689370254578,0.9839213934792318,1,5,1,16,1
2008/10/07/04,35824,2,0.21231576596694954,1.378265966949531,2.3186132201875838,5.903835417597142,0.3542876284055382,1,2,6,16,2
