,<bytes_Eye_Candy_(Happy_Tree_Friends)>,<traf_Eye_Candy_(Happy_Tree_Friends)>,bratio_Eye_candy,bratio_Happy_Trails_Pt._2:_Jumping_the_Shark,bratio_List_of_Happy_Tree_Friends_characters,bratio_List_of_Happy_Tree_Friends_internet_shorts_(Season_2),bratio_Rink_Hijinks,traf_Eye_candy,traf_Happy_Trails_Pt._2:_Jumping_the_Shark,traf_List_of_Happy_Tree_Friends_characters,traf_List_of_Happy_Tree_Friends_internet_shorts_(Season_2),traf_Rink_Hijinks
2008/10/01/06,19551,2,4.326888650196921,1.801953864252468,33.691064395683085,1.6609892077131605,2.0856733670911973,10,1,8,4,3
2008/10/01/17,9778,1,10.837901411331561,1.1262016772346084,66.22417672325629,2.1383718551851096,0.9693188791163837,16,1,14,2,1
2008/10/02/03,10252,2,3.109832227857979,5.587300039016777,57.35983222785798,2.0858369098712446,2.7738002341006633,6,3,10,3,3
2008/10/03/05,9784,1,9.186937857726901,1.1261242845461978,68.66271463614063,2.1377759607522484,0.9687244480784954,18,1,19,2,1
2008/10/03/16,32253,1,2.318078938393328,1.0985334697547515,12.53167147242117,1.941617833999938,1.898924131088581,11,1,19,3,2
2008/10/04/19,51640,3,0.8603214562354764,1.1183191324554609,11.298044151820294,2.2732378001549187,0.7732184353214563,7,4,30,11,2
2008/10/05/07,32260,1,0.9927774333539987,1.0983880967141972,9.156726596404216,29.736081835089895,1.8982021078735276,6,1,6,23,2
2008/10/05/10,9784,1,3.975776778413737,2.2522485690923957,20.62765739983647,1.0688879803761242,1.9409239574816026,7,2,8,1,2
2008/10/05/14,9967,1,8.210494632286546,1.1241095615531254,28.222333701214005,1.0679241496939902,0.9712049764221933,12,1,9,1,1
2008/10/05/17,19934,2,5.2840874887127525,0.5880405337614126,14.249774255041638,2.349152202267483,0.485752984850005,15,2,15,33,1
2008/10/07/17,19931,2,6.015252621544328,0.5621393808639807,20.918167678490793,1.0577994079574533,0.4857257538507852,13,1,13,2,1
